Task arrival date_act1,Task arrival date_act2,Task arrival date_act3,Task arrival date_act4,Task arrival date_act5,Actvity ID_act1,Actvity ID_act2,Actvity ID_act3,Actvity ID_act4,Actvity ID_act5,Task Executer_act1,Task Executer_act2,Task Executer_act3,Task Executer_act4,Task Executer_act5,Task executer department_act1,Task executer department_act2,Task executer department_act3,Task executer department_act4,Task executer department_act5,Task Type_act1,Task Type_act2,Task Type_act3,Task Type_act4,Task Type_act5,Action_act1,Action_act2,Action_act3,Action_act4,Action_act5,idBPMApplicationAction_act1,idBPMApplicationAction_act2,idBPMApplicationAction_act3,idBPMApplicationAction_act4,idBPMApplicationAction_act5,Period between arrival and execution_act1,Period between arrival and execution_act2,Period between arrival and execution_act3,Period between arrival and execution_act4,Period between arrival and execution_act5,Period between arrival and capture_act1,Period between arrival and capture_act2,Period between arrival and capture_act3,Period between arrival and capture_act4,Period between arrival and capture_act5,Cumulative Length of Process_act1,Cumulative Length of Process_act2,Cumulative Length of Process_act3,Cumulative Length of Process_act4,Cumulative Length of Process_act5,Overdue Days_act1,Overdue Days_act2,Overdue Days_act3,Overdue Days_act4,Overdue Days_act5,Role ID_act1,Role ID_act2,Role ID_act3,Role ID_act4,Role ID_act5,Years in Org Position_act1,Years in Org Position_act2,Years in Org Position_act3,Years in Org Position_act4,Years in Org Position_act5,Age_act1,Age_act2,Age_act3,Age_act4,Age_act5,idBPMRequirement_act1,idBPMRequirement_act2,idBPMRequirement_act3,idBPMRequirement_act4,idBPMRequirement_act5,Target,NumberOfFemales,NumberOfManagers,NumberOfOutsourcers,NumberOfRejections,Value Count,idField_203,idField_3486,idField_3388,idField_3391,idField_3390,idField_3491,idField_3420,idField_3935,idField_47,idField_1602,idField_1604,Value_10,Value_50,Value_30,Value_70,Value_20,Value_100,Value_60,Value_2,Value_40,Value_1,Value_80,Value_90,Actvity ID_last_act6,Task arrival date_last_act6
2022-05-27 15:42:57.360,2022-05-27 15:42:57.923,2022-06-01 11:48:02.573,2022-06-01 12:07:29.493,2022-06-01 12:29:10.923,100,102,101,102,101,1851,4960,1851,4960,1851,1851,4960,1851,4960,1851,Initial Request,Execution,Requester response to rejection,Execution,Requester response to rejection,Submit initial request,Non identifiable,Non identifiable,Non identifiable,Non identifiable,270,271,272,271,272,0,116,0,0,0,0,116,0,0,0,1,2,3,4,5,0,1,0,0,0,5,21,5,21,5,1,0,1,0,1,30,46,30,46,30,Non applicable,183,Non applicable,183,Non applicable,2,2,3,2,2,7,1,1,1,1,1,1,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,102,2022-06-01 12:40:33.383
2022-05-27 16:44:01.557,2022-05-27 16:44:02.917,2022-05-30 11:11:56.690,2022-06-01 15:28:55.420,2022-06-01 15:59:46.877,100,105,106,105,107,11183,10027,4960,10027,11183,11183,10027,4960,10027,11183,Initial Request,Execution,Execution,Execution,Final task,Submit initial request,Non identifiable,Non identifiable,Task executed with success,Non identifiable,270,273,273,282,278,0,66,52,0,0,0,66,51,0,0,1,2,3,4,5,0,0,2,0,0,1,59,21,59,1,1,5,0,5,1,46,48,46,48,46,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,0,3,4,1,0,6,1,1,1,1,1,0,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,102,2022-06-01 16:13:26.693
2022-05-27 17:43:15.227,2022-05-27 17:43:16.557,2022-06-02 11:50:07.373,2022-06-02 12:59:22.047,2022-06-02 13:05:56.873,100,102,101,102,101,935,4960,935,4960,935,935,4960,935,4960,935,Initial Request,Execution,Requester response to rejection,Execution,Requester response to rejection,Submit initial request,Non identifiable,Non identifiable,Non identifiable,Non identifiable,270,271,272,271,272,0,138,1,0,26,0,138,0,0,26,1,2,3,4,5,0,2,0,0,0,5,21,5,21,5,2,0,2,0,2,45,46,45,46,45,Non applicable,183,Non applicable,183,Non applicable,2,2,3,2,2,7,1,1,1,1,1,1,1,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,102,2022-06-03 15:47:04.150
2022-05-30 08:41:51.743,2022-05-30 08:41:52.507,2022-05-31 11:21:36.820,2022-05-31 11:28:06.493,2022-06-01 13:48:09.080,100,102,103,104,107,8303,4960,10925,8303,8303,8303,4960,10925,8303,8303,Initial Request,Execution,Execution,Execution,Final task,Submit initial request,Non identifiable,Non identifiable,Task executed with success,Non identifiable,270,273,273,282,278,0,26,0,26,1,0,26,0,0,0,1,2,3,4,5,0,0,0,0,0,6,21,8,6,6,6,0,2,6,6,54,46,53,54,54,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,1,2,4,1,0,9,1,1,1,1,0,1,1,0,1,1,1,3,1,1,0,0,1,0,2,0,0,0,0,102,2022-06-01 14:56:41.187
2022-05-30 09:00:45.287,2022-05-30 09:00:45.830,2022-05-31 12:38:41.157,2022-05-31 13:05:47.283,2022-05-31 13:22:46.973,100,102,101,102,101,869,4960,869,4960,869,869,4960,869,4960,869,Initial Request,Execution,Requester response to rejection,Execution,Requester response to rejection,Submit initial request,Non identifiable,Non identifiable,Non identifiable,Non identifiable,270,271,272,271,272,0,27,0,0,0,0,27,0,0,0,1,2,3,4,5,0,0,0,0,0,5,21,5,21,5,1,0,1,0,1,45,46,45,46,45,Non applicable,183,Non applicable,183,Non applicable,3,5,3,2,2,6,1,1,1,1,0,1,1,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,102,2022-05-31 13:25:33.190
2022-06-02 09:45:26.280,2022-06-02 09:45:28.233,2022-06-08 11:37:01.320,2022-06-08 11:49:43.020,2022-06-08 12:04:45.077,100,102,103,104,107,334,4960,10606,334,334,334,4960,10606,334,334,Initial Request,Execution,Execution,Execution,Final task,Submit initial request,Non identifiable,Non identifiable,Task executed with success,Non identifiable,270,273,273,282,278,0,145,0,0,0,0,145,0,0,0,1,2,3,4,5,0,5,0,0,0,5,21,11,5,5,7,0,1,7,7,46,46,49,46,46,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,2,5,4,1,0,10,1,1,1,1,1,1,1,0,1,1,1,4,1,1,1,0,0,0,0,0,0,0,0,102,2022-06-08 12:07:15.103
2022-06-02 10:44:40.377,2022-06-02 10:44:41.047,2022-06-08 14:47:10.050,2022-06-08 14:52:37.467,2022-06-08 16:49:27.927,100,102,103,104,107,11115,4960,73,11115,11115,11115,4960,73,11115,11115,Initial Request,Execution,Execution,Execution,Final task,Submit initial request,Non identifiable,Non identifiable,Task executed with success,Non identifiable,270,273,273,282,278,0,148,0,1,0,0,148,0,1,0,1,2,3,4,5,0,5,0,0,0,5,21,8,5,5,5,0,2,5,5,51,46,53,51,51,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,0,4,4,1,0,6,1,1,1,1,0,1,1,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,102,2022-06-08 16:51:25.407
2022-06-02 12:07:47.643,2022-06-02 12:07:48.223,2022-06-09 10:26:29.333,2022-06-09 13:36:06.877,2022-06-17 11:07:55.237,100,102,101,102,101,8751,4960,8751,4960,8751,8751,4960,8751,4960,8751,Initial Request,Execution,Requester response to rejection,Execution,Requester response to rejection,Submit initial request,Non identifiable,Non identifiable,Non identifiable,Non identifiable,270,271,272,271,272,0,166,3,189,0,0,166,3,189,0,1,2,3,4,5,0,6,0,3,0,4,21,4,21,4,1,0,1,0,1,51,46,51,46,51,Non applicable,183,Non applicable,183,Non applicable,3,2,3,2,2,7,1,1,1,1,1,1,1,0,0,0,0,3,1,1,0,0,0,0,0,1,0,0,0,102,2022-06-17 11:39:42.043
2022-06-03 18:56:44.740,2022-06-03 18:56:45.630,2022-06-06 00:09:55.767,2022-06-06 14:50:25.977,2022-06-06 16:38:38.073,100,102,103,104,107,7847,4322,10925,7847,7847,7847,4322,10925,7847,7847,Initial Request,Execution,Execution,Execution,Final task,Submit initial request,Non identifiable,Non identifiable,Task executed with success,Non identifiable,270,273,273,282,278,0,53,14,1,0,0,53,14,1,0,1,2,3,4,5,0,0,0,0,0,5,21,8,5,5,4,0,2,4,4,52,57,53,52,52,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,3,5,4,1,0,6,1,1,1,1,0,1,1,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,102,2022-06-06 16:41:14.790
2022-06-06 09:19:03.603,2022-06-06 09:19:08.683,2022-06-14 11:55:42.603,2022-06-14 12:01:56.650,2022-06-14 12:11:35.273,100,102,101,102,101,706,4960,706,4960,706,706,4960,706,4960,706,Initial Request,Execution,Requester response to rejection,Execution,Requester response to rejection,Submit initial request,Non identifiable,Non identifiable,Non identifiable,Non identifiable,270,271,272,271,272,0,194,0,0,1,0,194,0,0,0,1,2,3,4,5,0,7,0,0,0,5,21,5,21,5,1,0,1,0,1,47,46,47,46,47,Non applicable,183,Non applicable,183,Non applicable,3,5,3,2,2,7,1,1,1,1,1,1,1,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,102,2022-06-14 13:35:34.830
2022-06-06 16:35:48.370,2022-06-06 16:35:51.357,2022-06-15 10:33:07.153,2022-06-15 10:54:19.817,2022-06-15 15:26:41.783,100,102,103,104,107,600,4960,10606,600,600,600,4960,10606,600,600,Initial Request,Execution,Execution,Execution,Final task,Submit initial request,Non identifiable,Non identifiable,Task executed with success,Non identifiable,270,273,273,282,278,0,209,0,4,0,0,209,0,0,0,1,2,3,4,5,0,7,0,0,0,4,21,11,4,4,5,0,1,5,5,47,46,49,47,47,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,2,5,4,1,0,6,1,1,1,1,0,1,1,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,102,2022-06-15 15:31:07.943
2022-06-07 13:45:09.683,2022-06-07 13:45:10.760,2022-07-11 05:37:06.800,2022-07-11 19:12:22.370,2022-07-18 09:03:33.340,100,102,103,104,107,631,4322,10606,50,631,631,4322,10606,50,631,Initial Request,Execution,Execution,Execution,Final task,Submit initial request,Non identifiable,Non identifiable,Task executed with success,Non identifiable,270,273,273,282,278,0,807,13,157,0,0,220,3,13,0,1,2,3,4,5,0,32,0,5,0,5,21,11,6,5,3,0,1,3,3,44,57,49,51,44,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,2,3,4,1,0,6,1,1,1,1,0,1,1,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,102,2022-07-18 09:21:51.380
2022-06-07 16:43:23.420,2022-06-07 16:43:24.967,2022-06-19 09:50:55.030,2022-06-19 11:04:12.083,2022-06-20 09:15:06.533,100,102,103,104,107,1726,4322,10606,8674,1726,1726,4322,10606,8674,1726,Initial Request,Execution,Execution,Execution,Final task,Submit initial request,Non identifiable,Non identifiable,Task executed with success,Non identifiable,270,273,273,282,278,0,281,1,22,7,0,280,1,22,6,1,2,3,4,5,0,10,0,0,0,6,21,11,6,6,5,0,1,3,5,27,57,49,62,27,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,2,4,4,1,0,7,1,1,1,1,1,1,1,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0,102,2022-06-20 16:16:06.267
2022-06-15 11:52:35.483,2022-06-15 11:52:36.080,2022-06-15 12:52:32.940,2022-06-21 05:05:51.153,2022-06-23 11:19:03.320,100,105,106,105,101,10392,9083,4322,10272,10392,10392,9083,4322,10272,10392,Initial Request,Execution,Execution,Execution,Requester response to rejection,Submit initial request,Non identifiable,Non identifiable,Non identifiable,Non identifiable,270,273,273,271,272,0,0,136,54,0,0,0,136,6,0,1,2,3,4,5,0,0,5,1,0,5,59,21,32,5,7,5,0,2,7,50,52,57,52,50,Non applicable,Non applicable,Non applicable,300,Non applicable,0,4,4,1,1,5,1,1,1,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,105,2022-06-23 11:21:35.847
2022-06-17 09:06:45.503,2022-06-17 09:06:46.253,2022-06-21 14:37:44.120,2022-06-21 14:54:26.103,2022-06-21 16:23:58.280,100,102,101,102,101,1001,4960,1001,4960,1001,1001,4960,1001,4960,1001,Initial Request,Execution,Requester response to rejection,Execution,Requester response to rejection,Submit initial request,Non identifiable,Non identifiable,Non identifiable,Non identifiable,270,271,272,271,272,0,101,0,1,0,0,101,0,1,0,1,2,3,4,5,0,3,0,0,0,5,21,5,21,5,4,0,4,0,4,44,46,44,46,44,Non applicable,183,Non applicable,183,Non applicable,2,5,3,2,2,7,1,1,1,1,1,1,1,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,102,2022-06-21 17:16:14.810
2022-06-17 11:38:45.040,2022-06-17 11:38:46.100,2022-06-21 16:32:46.480,2022-06-21 17:27:27.100,2022-06-22 09:11:09.943,100,102,101,102,101,10929,4731,10929,4960,10929,10929,4731,10929,4960,10929,Initial Request,Execution,Requester response to rejection,Execution,Requester response to rejection,Submit initial request,Non identifiable,Non identifiable,Non identifiable,Non identifiable,270,271,272,271,272,0,100,0,15,4,0,100,0,15,4,1,2,3,4,5,0,1,0,0,0,5,21,5,21,5,1,1,1,0,1,50,52,50,46,50,Non applicable,300,Non applicable,183,Non applicable,2,2,3,2,2,7,1,1,1,1,1,1,1,0,0,0,0,3,0,1,0,0,0,0,0,1,0,1,0,102,2022-06-22 13:26:45.783
2022-06-20 09:32:57.493,2022-06-20 09:32:59.303,2022-06-23 09:11:10.493,2022-06-23 09:14:08.430,2022-06-23 10:38:01.390,100,102,101,102,101,10929,4960,10929,4960,10929,10929,4960,10929,4960,10929,Initial Request,Execution,Requester response to rejection,Execution,Requester response to rejection,Submit initial request,Non identifiable,Non identifiable,Non identifiable,Non identifiable,270,271,272,271,272,0,71,0,1,3,0,71,0,1,3,1,2,3,4,5,0,2,0,0,0,5,21,5,21,5,1,0,1,0,1,50,46,50,46,50,Non applicable,183,Non applicable,183,Non applicable,1,2,3,2,2,10,1,1,1,1,1,1,1,0,1,1,1,4,0,1,0,0,0,1,0,1,0,0,0,102,2022-06-23 13:47:02.740
2022-06-20 14:30:45.580,2022-06-20 14:30:46.173,2022-06-21 10:53:55.060,2022-06-21 11:17:42.793,2022-06-23 11:43:59.983,100,102,101,102,101,9029,4731,9029,4960,9029,9029,4731,9029,4960,9029,Initial Request,Execution,Requester response to rejection,Execution,Requester response to rejection,Submit initial request,Non identifiable,Non identifiable,Non identifiable,Non identifiable,270,271,272,271,272,0,20,0,48,0,0,20,0,48,0,1,2,3,4,5,0,0,0,1,0,6,21,6,21,6,0,1,0,0,0,53,52,53,46,53,Non applicable,300,Non applicable,183,Non applicable,2,2,3,2,2,6,1,1,1,1,0,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,102,2022-06-23 11:48:56.397
2022-06-21 16:07:09.623,2022-06-21 16:07:10.233,2022-06-24 15:33:02.970,2022-06-24 15:53:35.287,2022-06-30 17:24:21.377,100,102,103,104,107,52,4322,10606,52,52,52,4322,10606,52,52,Initial Request,Execution,Execution,Execution,Final task,Submit initial request,Non identifiable,Non identifiable,Task executed with success,Non identifiable,270,273,273,282,278,0,71,0,145,0,0,67,0,0,0,1,2,3,4,5,0,2,0,3,0,1,21,11,1,1,2,0,1,2,2,46,57,49,46,46,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,2,5,4,1,0,6,1,1,1,1,0,1,1,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,102,2022-06-30 17:25:51.587
2022-06-29 12:52:20.890,2022-06-29 12:52:21.750,2022-07-11 06:30:34.217,2022-07-11 09:18:06.987,2022-07-12 10:30:35.860,100,102,103,104,107,1020,4322,10606,1020,1020,1020,4322,10606,1020,1020,Initial Request,Execution,Execution,Execution,Final task,Submit initial request,Non identifiable,Non identifiable,Task executed with success,Non identifiable,270,273,273,282,278,0,281,2,25,0,0,281,2,25,0,1,2,3,4,5,0,10,0,0,0,5,21,11,5,5,8,0,1,8,8,40,57,49,40,40,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,2,5,4,1,0,6,1,1,1,1,0,1,1,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,102,2022-07-12 10:49:22.247
2022-06-29 15:00:37.987,2022-06-29 15:00:38.847,2022-07-01 10:01:03.170,2022-07-01 11:02:09.883,2022-07-01 12:16:01.123,100,102,101,102,101,1006,4960,1006,4960,1006,1006,4960,1006,4960,1006,Initial Request,Execution,Requester response to rejection,Execution,Requester response to rejection,Submit initial request,Non identifiable,Non identifiable,Non identifiable,Non identifiable,270,271,272,271,272,0,43,1,1,0,0,42,0,1,0,1,2,3,4,5,0,0,0,0,0,29,21,29,21,29,1,0,1,0,1,44,46,44,46,44,Non applicable,183,Non applicable,183,Non applicable,2,2,3,2,2,7,1,1,1,1,1,1,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,102,2022-07-01 12:42:41.580
2022-06-30 08:56:47.403,2022-06-30 08:56:48.200,2022-07-01 14:00:41.013,2022-07-01 14:07:58.343,2022-07-01 14:21:34.877,100,102,103,104,107,9391,4960,10606,9391,9391,9391,4960,10606,9391,9391,Initial Request,Execution,Execution,Execution,Final task,Submit initial request,Non identifiable,Non identifiable,Task executed with success,Non identifiable,270,273,273,282,278,0,29,0,0,0,0,29,0,0,0,1,2,3,4,5,0,0,0,0,0,1,21,11,1,1,1,0,1,1,1,53,46,49,53,53,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,2,2,4,1,0,6,1,1,1,1,0,1,1,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,102,2022-07-01 14:28:23.783
2022-07-01 16:11:04.633,2022-07-01 16:11:06.460,2022-07-01 16:58:24.367,2022-07-01 17:04:48.053,2022-07-01 17:11:48.337,100,105,101,105,101,7579,9083,7579,9083,7579,7579,9083,7579,9083,7579,Initial Request,Execution,Requester response to rejection,Execution,Requester response to rejection,Submit initial request,Non identifiable,Non identifiable,Non identifiable,Non identifiable,270,271,272,271,272,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,0,0,0,0,0,5,59,5,59,5,0,5,0,5,0,57,52,57,52,57,Non applicable,101,Non applicable,101,Non applicable,1,0,5,0,2,5,1,1,1,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,105,2022-07-01 17:17:12.393
