Task arrival date_act1,Task arrival date_act2,Task arrival date_act3,Task arrival date_act4,Task arrival date_act5,Task arrival date_act6,Actvity ID_act1,Actvity ID_act2,Actvity ID_act3,Actvity ID_act4,Actvity ID_act5,Actvity ID_act6,Task Executer_act1,Task Executer_act2,Task Executer_act3,Task Executer_act4,Task Executer_act5,Task Executer_act6,Task executer department_act1,Task executer department_act2,Task executer department_act3,Task executer department_act4,Task executer department_act5,Task executer department_act6,Task Type_act1,Task Type_act2,Task Type_act3,Task Type_act4,Task Type_act5,Task Type_act6,Action_act1,Action_act2,Action_act3,Action_act4,Action_act5,Action_act6,idBPMApplicationAction_act1,idBPMApplicationAction_act2,idBPMApplicationAction_act3,idBPMApplicationAction_act4,idBPMApplicationAction_act5,idBPMApplicationAction_act6,Period between arrival and execution_act1,Period between arrival and execution_act2,Period between arrival and execution_act3,Period between arrival and execution_act4,Period between arrival and execution_act5,Period between arrival and execution_act6,Period between arrival and capture_act1,Period between arrival and capture_act2,Period between arrival and capture_act3,Period between arrival and capture_act4,Period between arrival and capture_act5,Period between arrival and capture_act6,Cumulative Length of Process_act1,Cumulative Length of Process_act2,Cumulative Length of Process_act3,Cumulative Length of Process_act4,Cumulative Length of Process_act5,Cumulative Length of Process_act6,Overdue Days_act1,Overdue Days_act2,Overdue Days_act3,Overdue Days_act4,Overdue Days_act5,Overdue Days_act6,Role ID_act1,Role ID_act2,Role ID_act3,Role ID_act4,Role ID_act5,Role ID_act6,Years in Org Position_act1,Years in Org Position_act2,Years in Org Position_act3,Years in Org Position_act4,Years in Org Position_act5,Years in Org Position_act6,Age_act1,Age_act2,Age_act3,Age_act4,Age_act5,Age_act6,idBPMRequirement_act1,idBPMRequirement_act2,idBPMRequirement_act3,idBPMRequirement_act4,idBPMRequirement_act5,idBPMRequirement_act6,Target,NumberOfFemales,NumberOfManagers,NumberOfOutsourcers,NumberOfRejections,Value Count,idField_203,idField_3486,idField_3388,idField_3391,idField_3390,idField_3491,idField_3420,idField_3935,idField_47,idField_1602,idField_1604,Value_10,Value_50,Value_30,Value_70,Value_20,Value_100,Value_60,Value_2,Value_40,Value_1,Value_80,Value_90,Actvity ID_last_act7,Task arrival date_last_act7
2022-11-02 11:18:08.357,2022-11-02 11:18:16.450,2022-11-02 15:10:10.890,2022-11-02 15:14:52.540,2022-11-02 15:32:34.577,2022-11-02 15:49:58.520,100,102,103,104,102,103,8608,4960,10606,795,4960,10606,8608,4960,10606,795,4960,10606,Initial Request,Execution,Execution,Execution,Execution,Execution,Submit initial request,Non identifiable,Non identifiable,Non identifiable,Non identifiable,Non identifiable,270,273,300,279,273,278,0,3,0,0,0,0,0,3,0,0,0,0,1,2,3,4,5,6,0,0,0,0,0,0,5,21,11,6,21,11,2,0,1,2,0,1,57,46,49,45,46,49,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,2,4,4,2,0,6,1,1,1,1,0,1,1,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,102,2022-11-02 15:51:57.827
2022-11-03 08:48:36.920,2022-11-03 08:48:39.610,2022-11-03 13:34:03.743,2022-11-03 13:47:29.590,2022-11-03 14:01:42.970,2022-11-03 14:04:59.330,100,102,102,102,103,104,9910,Robot,Robot,4960,10606,9910,9910,Non identifiable,Non identifiable,4960,10606,9910,Initial Request,Execution,Execution,Execution,Execution,Execution,Submit initial request,Task returned to team,Task returned to team,Non identifiable,Non identifiable,Non identifiable,270,290,290,273,300,279,0,4,0,0,0,21,0,4,0,0,0,0,1,2,3,4,5,6,0,0,0,0,0,0,6,0,0,21,11,6,1,0,0,0,1,1,53,0,0,46,49,53,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,1,4,3,3,0,6,1,1,1,1,0,1,1,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,102,2022-11-04 11:19:23.127
2022-11-22 14:16:20.097,2022-11-22 14:16:21.503,2022-11-22 14:36:22.253,2022-11-22 14:44:23.653,2022-11-24 10:27:56.947,2022-11-24 12:06:04.293,100,102,103,104,107,102,334,4731,10606,9437,334,Robot,334,4731,10606,9437,334,Non identifiable,Initial Request,Execution,Execution,Execution,Final task,Execution,Submit initial request,Non identifiable,Non identifiable,Task executed with success,Non identifiable,Task returned to team,270,273,300,282,278,290,0,0,0,43,1,0,0,0,0,0,1,0,1,2,3,4,5,6,0,0,0,0,0,0,5,21,11,3,5,0,7,1,1,4,7,0,46,52,49,54,46,0,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,2,4,4,2,0,6,1,1,1,1,0,1,1,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,102,2022-11-24 12:20:26.830
2022-12-05 08:52:07.117,2022-12-05 08:52:07.850,2022-12-05 10:08:46.953,2022-12-05 12:15:33.780,2022-12-12 15:53:33.610,2022-12-12 16:04:08.850,100,102,103,104,102,103,307,4960,73,307,4960,10564,307,4960,73,307,4960,10564,Initial Request,Execution,Execution,Execution,Execution,Execution,Submit initial request,Non identifiable,Non identifiable,Non identifiable,Non identifiable,Non identifiable,270,273,300,279,273,278,0,1,2,171,0,0,0,1,2,3,0,0,1,2,3,4,5,6,0,0,0,6,0,0,4,21,8,4,21,10,1,0,2,1,0,2,47,46,53,47,46,51,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,1,5,4,2,0,9,1,1,1,1,1,1,1,0,1,1,0,2,1,1,1,1,0,0,0,0,2,0,0,102,2022-12-12 16:32:01.500
2022-12-05 17:26:47.313,2022-12-05 17:26:54.110,2022-12-06 10:57:10.300,2022-12-06 13:46:36.083,2022-12-06 17:46:25.700,2022-12-09 08:48:05.733,100,102,103,104,102,103,1210,Robot,10925,10530,Robot,73,1210,Non identifiable,10925,10530,Non identifiable,73,Initial Request,Execution,Execution,Execution,Execution,Execution,Submit initial request,Non identifiable,Non identifiable,Non identifiable,Non identifiable,Non identifiable,270,273,300,279,273,278,0,17,2,3,63,0,0,17,2,0,62,0,1,2,3,4,5,6,0,0,0,0,1,0,4,0,8,12,0,8,3,0,2,0,0,2,40,0,53,49,0,53,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,2,3,4,2,0,6,1,1,1,1,0,1,1,0,0,0,0,1,0,0,2,0,1,0,0,1,0,0,0,102,2022-12-09 09:16:13.837
2022-12-06 10:41:59.277,2022-12-06 10:42:10.637,2022-12-06 15:20:06.657,2022-12-07 11:33:55.510,2022-12-07 11:57:18.967,2022-12-07 16:31:48.767,100,102,103,104,102,103,171,4960,73,171,4731,10925,171,4960,73,171,4731,10925,Initial Request,Execution,Execution,Execution,Execution,Execution,Submit initial request,Non identifiable,Non identifiable,Non identifiable,Non identifiable,Non identifiable,270,273,300,279,273,278,0,4,20,0,4,44,0,4,19,0,4,6,1,2,3,4,5,6,0,0,0,0,0,0,5,21,8,5,21,8,5,0,2,5,1,2,49,46,53,49,52,53,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,3,3,4,2,0,7,1,1,1,1,1,1,1,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,102,2022-12-09 12:42:47.217
2022-12-09 11:35:46.160,2022-12-09 11:35:51.473,2022-12-09 16:43:46.750,2022-12-10 07:35:10.243,2022-12-12 15:01:35.003,2022-12-13 10:33:04.637,100,102,103,104,102,103,8590,4731,10925,8590,Robot,73,8590,4731,10925,8590,Non identifiable,73,Initial Request,Execution,Execution,Execution,Execution,Execution,Submit initial request,Non identifiable,Non identifiable,Non identifiable,Non identifiable,Non identifiable,270,273,300,279,273,278,0,5,14,55,19,0,0,5,14,52,19,0,1,2,3,4,5,6,0,0,0,0,0,0,5,21,8,5,0,8,2,1,2,2,0,2,64,52,53,64,0,53,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,2,2,4,2,0,6,1,1,1,1,1,1,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,102,2022-12-13 11:12:09.683
2022-12-12 10:05:38.973,2022-12-12 10:05:41.567,2022-12-13 12:23:11.540,2022-12-13 13:14:55.180,2022-12-14 12:10:40.307,2022-12-14 16:06:14.957,100,102,103,104,102,103,9235,4960,10606,9235,4960,10606,9235,4960,10606,9235,4960,10606,Initial Request,Execution,Execution,Execution,Execution,Execution,Submit initial request,Non identifiable,Non identifiable,Non identifiable,Non identifiable,Non identifiable,270,273,300,279,273,278,0,26,0,22,3,77,0,7,0,22,3,14,1,2,3,4,5,6,0,0,0,0,0,2,5,21,11,5,21,11,4,0,1,4,0,1,57,46,49,57,46,49,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,2,4,4,2,0,6,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,102,2022-12-17 21:52:23.240
2022-12-20 11:49:45.487,2022-12-20 11:50:02.613,2022-12-21 12:35:41.947,2022-12-21 14:25:48.380,2022-12-21 14:54:28.127,2022-12-21 15:54:42.447,100,102,103,102,103,102,7667,Robot,10606,Robot,10606,Robot,7667,Non identifiable,10606,Non identifiable,10606,Non identifiable,Initial Request,Execution,Execution,Execution,Execution,Execution,Submit initial request,Non identifiable,Non identifiable,Non identifiable,Non identifiable,Task returned to team,270,273,278,273,278,290,0,24,1,0,1,0,0,24,1,0,0,0,1,2,3,4,5,6,0,0,0,0,0,0,3,0,11,0,11,0,2,0,1,0,1,0,58,0,49,0,49,0,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,2,2,3,3,0,7,1,1,1,1,1,1,0,1,0,0,0,2,0,1,0,0,1,1,0,1,0,0,0,102,2022-12-21 16:45:51.910
2022-12-22 13:04:48.127,2022-12-22 13:04:48.720,2022-12-22 17:57:09.173,2022-12-22 19:45:15.240,2022-12-23 09:29:10.667,2022-12-23 10:06:20.690,100,102,102,103,104,107,334,Robot,4322,10606,334,334,334,Non identifiable,4322,10606,334,334,Initial Request,Execution,Execution,Execution,Execution,Final task,Submit initial request,Task returned to team,Non identifiable,Non identifiable,Task executed with success,Non identifiable,270,290,273,300,282,278,0,4,1,13,0,0,0,4,1,13,0,0,1,2,3,4,5,6,0,0,0,0,0,0,5,0,21,11,5,5,7,0,0,1,7,7,46,0,57,49,46,46,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,1,5,4,2,0,9,1,1,1,1,1,1,0,0,1,1,1,2,0,0,1,1,1,0,0,0,2,1,0,102,2022-12-23 10:45:37.923
2022-12-29 14:18:34.153,2022-12-29 14:18:36.857,2022-12-29 17:29:09.880,2022-12-30 12:01:42.537,2022-12-30 13:06:36.473,2022-12-30 13:29:36.113,100,102,101,102,103,104,1178,4960,1178,4960,10606,1178,1178,4960,1178,4960,10606,1178,Initial Request,Execution,Requester response to rejection,Execution,Execution,Execution,Submit initial request,Non identifiable,Non identifiable,Non identifiable,Non identifiable,Non identifiable,270,271,272,273,300,279,0,3,18,1,0,1,0,2,18,0,0,1,1,2,3,4,5,6,0,0,0,0,0,0,5,21,5,21,11,5,2,0,2,0,1,2,40,46,40,46,49,40,Non applicable,300,Non applicable,Non applicable,Non applicable,Non applicable,3,6,4,2,1,6,1,1,1,1,1,1,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,0,0,102,2022-12-30 14:51:53.773
2022-12-30 15:47:53.590,2022-12-30 15:47:54.777,2022-12-30 16:20:51.920,2022-12-30 16:35:28.753,2022-12-30 16:49:17.243,2023-01-02 12:09:18.117,100,102,102,103,104,107,876,4960,Robot,10606,876,876,876,4960,Non identifiable,10606,876,876,Initial Request,Execution,Execution,Execution,Execution,Final task,Submit initial request,Task returned to team,Non identifiable,Non identifiable,Task executed with success,Non identifiable,270,290,273,300,282,278,0,0,0,0,67,0,0,0,0,0,0,0,1,2,3,4,5,6,0,0,0,0,0,0,5,21,0,11,5,5,3,0,0,1,3,3,41,46,0,49,41,41,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,2,5,4,2,0,9,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,2,1,0,0,0,0,0,0,102,2023-01-02 12:12:44.383
2023-01-02 16:43:09.807,2023-01-02 16:43:11.323,2023-01-03 08:21:14.777,2023-01-03 08:38:01.733,2023-01-03 09:56:18.093,2023-01-03 10:32:44.770,100,102,103,104,102,102,876,4322,73,795,Robot,3791,876,4322,73,795,Non identifiable,3791,Initial Request,Execution,Execution,Execution,Execution,Execution,Submit initial request,Non identifiable,Non identifiable,Non identifiable,Task returned to team,Task returned to team,270,273,300,279,290,290,0,15,0,1,0,1,0,15,0,0,0,0,1,2,3,4,5,6,0,0,0,0,0,0,5,21,8,6,0,21,3,0,2,2,0,0,41,57,53,45,0,36,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,2,3,3,3,0,6,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,102,2023-01-03 11:43:26.547
2023-01-04 15:00:58.537,2023-01-04 15:01:01.943,2023-01-05 13:53:26.050,2023-01-05 14:43:44.073,2023-01-05 14:57:23.357,2023-01-05 15:42:15.230,100,102,103,104,102,102,9512,Robot,10606,9512,Robot,4322,9512,Non identifiable,10606,9512,Non identifiable,4322,Initial Request,Execution,Execution,Execution,Execution,Execution,Submit initial request,Non identifiable,Non identifiable,Non identifiable,Task returned to team,Task returned to team,270,273,300,279,290,290,0,22,0,0,0,64,0,22,0,0,0,63,1,2,3,4,5,6,0,0,0,0,0,1,5,0,11,5,0,21,2,0,1,2,0,0,54,0,49,54,0,57,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,2,4,3,3,0,6,1,1,1,1,1,1,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,102,2023-01-08 07:51:29.973
2023-01-05 11:17:57.413,2023-01-05 11:17:59.617,2023-01-05 18:58:42.077,2023-01-06 08:41:33.647,2023-01-06 10:05:23.313,2023-01-06 13:44:44.727,100,102,102,102,102,102,9416,Robot,3791,Robot,Robot,4322,9416,Non identifiable,3791,Non identifiable,Non identifiable,4322,Initial Request,Execution,Execution,Execution,Execution,Execution,Submit initial request,Task returned to team,Task returned to team,Task returned to team,Task returned to team,Task returned to team,270,290,290,290,290,290,0,7,13,1,3,57,0,7,13,1,3,57,1,2,3,4,5,6,0,0,0,0,0,2,5,0,21,0,0,21,2,0,0,0,0,0,53,0,36,0,0,57,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,3,2,1,5,0,6,1,1,1,1,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,102,2023-01-08 23:35:16.907
2023-01-10 12:28:14.757,2023-01-10 12:28:25.040,2023-01-10 12:41:01.037,2023-01-10 13:03:00.300,2023-01-10 17:30:01.017,2023-01-19 09:37:21.167,100,102,103,104,104,107,9855,4731,10606,9855,9855,9855,9855,4731,10606,9855,9855,9855,Initial Request,Execution,Execution,Execution,Execution,Final task,Submit initial request,Non identifiable,Non identifiable,Task returned to team,Task executed with success,Non identifiable,270,273,300,290,282,278,0,0,0,4,208,31,0,0,0,0,208,31,1,2,3,4,5,6,0,0,0,0,7,0,5,21,11,5,5,5,0,1,1,0,0,0,51,52,49,51,51,51,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,3,2,5,1,0,6,1,1,1,1,1,1,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,102,2023-01-20 17:26:24.977
2023-01-20 08:46:27.607,2023-01-20 08:46:29.060,2023-01-20 10:53:42.357,2023-01-20 11:18:47.370,2023-01-20 11:26:50.877,2023-01-23 15:16:29.837,100,102,103,104,107,107,10930,4960,7854,10930,10930,10930,10930,4960,7854,10930,10930,10930,Initial Request,Execution,Execution,Execution,Final task,Final task,Submit initial request,Non identifiable,Non identifiable,Task executed with success,Task returned to team,Non identifiable,270,273,300,282,290,278,0,2,0,0,75,0,0,1,0,0,0,0,1,2,3,4,5,6,0,0,0,0,0,0,5,21,9,5,5,5,7,0,2,7,7,7,49,46,55,49,49,49,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,1,6,5,1,0,9,1,1,1,1,1,1,0,0,1,1,1,2,0,0,1,1,1,0,1,1,0,0,0,102,2023-01-23 15:33:53.623
2023-01-20 09:15:20.027,2023-01-20 09:15:20.730,2023-01-20 11:02:49.340,2023-01-20 15:30:25.810,2023-01-23 07:58:17.587,2023-01-23 08:35:54.957,100,102,103,102,103,104,1100,4960,10925,4322,10606,1100,1100,4960,10925,4322,10606,1100,Initial Request,Execution,Execution,Execution,Execution,Execution,Submit initial request,Non identifiable,Non identifiable,Non identifiable,Non identifiable,Non identifiable,270,273,278,273,300,279,0,1,4,64,0,0,0,1,0,64,0,0,1,2,3,4,5,6,0,0,0,0,0,0,5,21,8,21,11,5,2,0,2,0,1,2,42,46,53,57,49,42,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,2,6,4,2,0,6,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,102,2023-01-23 09:27:36.923
